alias_text,alias_kind,canonical_sku,attributes_json,confidence
8120-001180,sku,8120,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8120-001240,sku,8120,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8120-001300,sku,8120,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8120-001360,sku,8120,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8120-001420,sku,8120,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8120-001480,sku,8120,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8170-001180,sku,8170,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8170-001240,sku,8170,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8170-001300,sku,8170,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8170-001360,sku,8170,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8170-001420,sku,8170,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8170-001480,sku,8170,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8320-001180,sku,8320,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8320-001240,sku,8320,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8320-001300,sku,8320,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8320-001360,sku,8320,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8320-001420,sku,8320,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8320-001480,sku,8320,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8320-005000,sku,8320,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8320-006000,sku,8320,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8322-001180,sku,8322,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8322-001240,sku,8322,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8322-001300,sku,8322,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8322-001360,sku,8322,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8322-001420,sku,8322,"{""finish"":""stainless"",""material"":""stainless""}",0.900
8322-001480,sku,8322,"{""finish"":""stainless"",""material"":""stainless""}",0.900
BOB-DURALINE-CGL-OH,sku,BOB-1080-OH,"{""material"":""phenolic""}",0.820
FE-SIGN-VINYL-12X24,sku,SETON-76866-FE,"{""size"":""12in"",""compliance"":""fire""}",0.900
GLOBAL-ASH-9X5X13,sku,GLOBAL-9X5X13-ASH,"{""finish"":""stainless"",""material"":""stainless"",""size"":""9in""}",0.900
JUSTRITE-SCF-26800,sku,JUSTRITE-SCF,"{""compliance"":""fire""}",0.820
ROCK-306B-84-630,sku,ROCK-306B-42-630,"{""finish"":""stainless"",""material"":""stainless""}",0.870
ROCK-K1050-12X34-630,sku,ROCK-K1050-10X34-630,"{""finish"":""stainless"",""material"":""stainless"",""size"":""12x34""}",0.900